image :1method :2
P =[0.17402875, -0.05408809, -0.040565643, -0.25649726;
187. [-16.03 -155.16]  [-15.904825; -153.98964]  error is : 1.17704
188. [285.02 -8.79]  [285.89871; -9.2495871]  error is : 0.991652
189. [121.54 -110.77]  [120.00123; -110.63866]  error is : 1.54437
190. [172.83 -102.14]  [171.51215; -102.27847]  error is : 1.32511
191. [138.95 -126.55]  [137.55998; -126.65709]  error is : 1.39413
192. [231.03 -72.36]  [230.39243; -72.970978]  error is : 0.883059
193. [176.31 -110.73]  [175.11113; -110.96793]  error is : 1.22225
194. [214.59 -101.55]  [214.05081; -102.32875]  error is : 0.947189
195. [120.14 -158.87]  [119.2354; -159.00163]  error is : 0.91413
196. [277.17 -71.16]  [278.18375; -71.985809]  error is : 1.30752
197. [277.17 -71.16]  [278.18375; -71.985809]  error is : 1.30752
198. [149 -165.1]  [148.22624; -165.58345]  error is : 0.91237
199. [130.92 -181.05]  [130.36089; -181.39864]  error is : 0.658902
200. [150.78 -170.65]  [150.09027; -171.25307]  error is : 0.9162
201. [15.78 117.61]  [15.559098; 116.10812]  error is : 1.51804
202. [-190.59 105.1]  [-188.64423; 104.96979]  error is : 1.95012
203. [-170.72 81.56]  [-168.72067; 81.549149]  error is : 1.99936
204. [-167.03 82.8]  [-165.07907; 82.753624]  error is : 1.95148
205. [218.15 135.74]  [218.0067; 136.45703]  error is : 0.731204
206. [-118.67 76.89]  [-117.47272; 76.737106]  error is : 1.207
207. [-65 -84.15]  [-64.008003; -83.407951]  error is : 1.23883
208. [-135.1 -111.08]  [-134.01624; -110.38393]  error is : 1.28805
209. [-111.4 -107]  [-109.86628; -106.25549]  error is : 1.70487
210. [-122 -109.36]  [-119.55524; -108.86835]  error is : 2.49371
211. [-181.88 -174.88]  [-181.5024; -175.11026]  error is : 0.442274
212. [265.4 41.26]  [265.59515; 41.214909]  error is : 0.200301
213. [-58.44 -137.88]  [-58.140888; -136.77742]  error is : 1.14244
214. [-58.44 -137.88]  [-58.140888; -136.77742]  error is : 1.14244
215. [-56.77 -142.02]  [-56.18148; -141.05379]  error is : 1.13134
216. [114.68 -105.82]  [113.12102; -105.75924]  error is : 1.56017
217. [104.61 -132.38]  [103.39984; -131.99243]  error is : 1.27071
218. [-115.12 -218.05]  [-115.09903; -217.82611]  error is : 0.224872
219. [136.57 -122.29]  [135.25456; -122.25994]  error is : 1.31579
220. [103.69 -152.46]  [102.64754; -151.92699]  error is : 1.17082
221. [207.67 -94.69]  [206.57574; -95.456451]  error is : 1.33598
222. [208.09 -103.07]  [207.35765; -104.21658]  error is : 1.36051
223. [112.15 -168.14]  [111.3745; -168.35535]  error is : 0.804849
224. [112.15 -168.14]  [111.3745; -168.35535]  error is : 0.804849
225. [122.74 -163.16]  [121.94344; -163.4584]  error is : 0.850613
226. [104.33 -173.99]  [103.48899; -174.0137]  error is : 0.841345
227. [113.71 -173.29]  [112.76301; -173.23643]  error is : 0.948504
228. [113.71 -173.29]  [112.82985; -173.50014]  error is : 0.904889
229. [188.94 -136.02]  [188.51076; -136.57184]  error is : 0.699122
230. [109.52 -185.39]  [108.8377; -185.64752]  error is : 0.729278
231. [131.38 -174.59]  [130.83539; -175.38841]  error is : 0.966476
232. [105.75 -205.7]  [105.36143; -206.21751]  error is : 0.647153
233. [123.25 -198.87]  [122.80482; -199.59128]  error is : 0.847607
234. [119 -206.64]  [118.68291; -207.44199]  error is : 0.862398
235. [146.36 201.93]  [145.78893; 202.5753]  error is : 0.861714
236. [146.36 201.93]  [145.78893; 202.5753]  error is : 0.861714
237. [-187.91 107.95]  [-186.03827; 107.71155]  error is : 1.88686
238. [-122.55 -64.56]  [-120.91437; -64.050423]  error is : 1.71318
239. [258.83 173.45]  [260.49332; 176.16335]  error is : 3.1826
240. [-105.23 85.57]  [-104.33926; 85.245186]  error is : 0.948121
241. [-112.76 79.36]  [-111.72316; 79.094406]  error is : 1.07032
242. [-115.21 62.24]  [-114.02288; 62.363773]  error is : 1.19355
243. [-154.88 39.9]  [-152.89883; 40.575962]  error is : 2.09331
244. [-133.06 -107.53]  [-132.0515; -106.87212]  error is : 1.20411
245. [-123.93 -106.68]  [-122.54029; -105.8826]  error is : 1.60223
246. [-150.41 -112.72]  [-149.28543; -112.00572]  error is : 1.33224
247. [-139.43 -111.37]  [-138.25815; -110.63803]  error is : 1.38167
248. [-156.31 -115.26]  [-155.302; -114.59974]  error is : 1.20499
249. [-106.03 -110.11]  [-105.10989; -109.33615]  error is : 1.20227
250. [-161.22 -121.88]  [-160.17252; -121.08243]  error is : 1.31656
251. [-150.32 29.99]  [-148.47673; 30.727209]  error is : 1.98523
252. [-143.82 -123.64]  [-142.96909; -123.31725]  error is : 0.910076
253. [-159.97 -129.01]  [-158.97469; -128.4261]  error is : 1.15394
254. [-133.26 -125.63]  [-132.16461; -124.61811]  error is : 1.49123
255. [103.17 -128.54]  [101.86743; -128.22635]  error is : 1.3398
256. [204.42 -89.24]  [203.33391; -89.840462]  error is : 1.24103
257. [-102.83 -232.3]  [-103.16176; -232.74541]  error is : 0.55538
258. [107.84 -193.41]  [107.19452; -193.85191]  error is : 0.782256
259. [108.23 -197.26]  [107.65724; -197.78345]  error is : 0.775924
260. [115.46 -213.05]  [115.18453; -213.98853]  error is : 0.978114
261. [119.34 -222.23]  [119.3251; -223.35706]  error is : 1.12716
262. [206.4 175.36]  [206.61761; 176.83704]  error is : 1.49298
263. [236.14 187.62]  [237.08971; 190.09357]  error is : 2.64962
264. [-103.24 -101.22]  [-102.03472; -100.27627]  error is : 1.53079
265. [-160.8 -114.37]  [-159.63048; -113.69238]  error is : 1.35165
266. [-164.74 -117.56]  [-163.87642; -117.21582]  error is : 0.929645
267. [-152 -118.72]  [-150.8557; -118.09249]  error is : 1.30507
268. [-151.89 -131.06]  [-150.79085; -130.37845]  error is : 1.29331
269. [-153.27 -173.76]  [-152.5686; -173.36154]  error is : 0.806677
270. [-153.27 -173.76]  [-152.5686; -173.36154]  error is : 0.806677
271. [-144.22 -171.85]  [-143.40654; -171.20522]  error is : 1.03801
272. [-144.22 -171.85]  [-143.60497; -171.20187]  error is : 0.893501
273. [279.72 -0.49]  [279.60193; 0.047369897]  error is : 0.550189
274. [124.5 -115.14]  [123.01891; -114.97837]  error is : 1.48989
275. [144.81 -141.94]  [143.92326; -142.21411]  error is : 0.928134
276. [197.91 -116.47]  [196.95291; -117.1767]  error is : 1.18972
277. [-107.78 -64.96]  [-106.09589; -64.397766]  error is : 1.77548
278. [-60.94 -70.98]  [-60.038597; -70.415596]  error is : 1.06352
279. [-128.04 76.97]  [-126.72663; 76.737724]  error is : 1.33374
280. [-158.19 -108.2]  [-157.26094; -107.97636]  error is : 0.955598
281. [-158.19 -108.2]  [-157.26094; -107.97636]  error is : 0.955598
282. [-129.95 -107.22]  [-128.59976; -106.34373]  error is : 1.60965
283. [-96.68 -110.6]  [-95.977646; -110.06719]  error is : 0.881581
284. [-145.1 25.95]  [-143.30664; 26.823534]  error is : 1.9948
285. [-124.37 -146.88]  [-123.36584; -146.06158]  error is : 1.29543
286. [183.6 -120.99]  [182.7234; -121.91584]  error is : 1.275
287. [-144.45 -107.24]  [-143.58347; -106.8615]  error is : 0.945587
288. [-86.44 -100.87]  [-85.510857; -99.949821]  error is : 1.30769
289. [-133.44 -115.1]  [-132.22969; -114.24001]  error is : 1.48473
290. [-133.44 -115.1]  [-132.37154; -114.25543]  error is : 1.36195
291. [168.94 -160.26]  [167.66812; -159.79739]  error is : 1.3534
292. [164.45 -168.49]  [163.97713; -169.17894]  error is : 0.835605
293. [225.94 132.07]  [227.93008; 132.24609]  error is : 1.99786
294. [-145.08 -141.05]  [-144.08189; -140.50412]  error is : 1.13763
295. [135.06 211.36]  [133.63531; 212.02655]  error is : 1.5729
296. [150.47 214.38]  [149.55856; 215.88612]  error is : 1.76043
297. [-149.97 -119.56]  [-148.92422; -118.77274]  error is : 1.30898
298. [-25.8 127.06]  [-25.899994; 125.56228]  error is : 1.50105
299. [-25.8 127.06]  [-25.899994; 125.56228]  error is : 1.50105
300. [-1.08 119.3]  [-1.2399844; 117.80366]  error is : 1.50487
301. [182.12 184.44]  [181.70909; 185.31058]  error is : 0.962675
302. [145 163.88]  [143.79478; 163.71683]  error is : 1.21621
303. [-279.82 45.2]  [-280.53271; 45.071049]  error is : 0.724279
304. [270.01 145.86]  [271.86633; 147.63203]  error is : 2.56633
305. [-271.55 9.16]  [-271.56113; 9.1527863]  error is : 0.0132707
306. [175.96 79.76]  [174.13731; 79.356964]  error is : 1.86672
307. [-232.44 -11.88]  [-231.43608; -11.991099]  error is : 1.01005
308. [290.53 107.91]  [291.63443; 109.46418]  error is : 1.90663
309. [-159.32 111.2]  [-158.17993; 110.25957]  error is : 1.47789
310. [241.13 59.24]  [240.69089; 59.335564]  error is : 0.449395
311. [-161.54 93.67]  [-160.01648; 93.00396]  error is : 1.66274
312. [-80.59 80.32]  [-80.625679; 79.466614]  error is : 0.854132
313. [120.86 65.44]  [117.45356; 65.328735]  error is : 3.40826
314. [-87.32 65.75]  [-87.328186; 65.244888]  error is : 0.505178
315. [266.91 36.43]  [267.34174; 36.260525]  error is : 0.463805
316. [264.81 28.03]  [265.07007; 28.078526]  error is : 0.264559
317. [86.61 38.83]  [82.880966; 38.710938]  error is : 3.73093
318. [-18.77 14.91]  [-20.033348; 15.181179]  error is : 1.29212
319. [-310.52 -92.99]  [-311.88953; -93.177002]  error is : 1.38225
320. [-105.27 32.69]  [-104.7245; 33.063732]  error is : 0.661242
321. [-108.29 32.22]  [-107.60684; 32.619724]  error is : 0.791508
322. [184.66 -15.49]  [182.32271; -15.445586]  error is : 2.33772
323. [-108.96 26.07]  [-108.10487; 26.61381]  error is : 1.0134
324. [-103.76 19.55]  [-102.94101; 20.217419]  error is : 1.0565
325. [153.46 -20.87]  [150.58301; -20.619102]  error is : 2.88792
326. [-136.02 21.82]  [-134.65668; 22.594666]  error is : 1.56805
327. [-123.21 20.73]  [-122.03001; 21.474791]  error is : 1.39538
328. [-7.13 -10.03]  [-8.6307125; -9.0273809]  error is : 1.80482
329. [185.82 -37.06]  [183.58676; -37.26881]  error is : 2.24299
330. [267.93 -30.73]  [268.17694; -31.814476]  error is : 1.11224
331. [-188.61 -136.84]  [-187.98769; -136.31784]  error is : 0.812356
332. [-188.54 -148.22]  [-188.00351; -147.78447]  error is : 0.691016
333. [-311.16 -164.83]  [-313.84955; -166.45255]  error is : 3.14107
334. [-311.16 -164.83]  [-313.84955; -166.45255]  error is : 3.14107
335. [-51.46 -148.45]  [-51.266338; -147.49248]  error is : 0.976907
336. [-51.46 -148.45]  [-51.266338; -147.49248]  error is : 0.976907
337. [197.2 -94.78]  [196.18619; -95.105942]  error is : 1.06492
338. [204.64 -102.87]  [203.85561; -103.79742]  error is : 1.21465
339. [282.06 -75.44]  [283.31168; -76.98307]  error is : 1.9869
340. [282.06 -75.44]  [283.31168; -76.98307]  error is : 1.9869
341. [-209.78 -178.22]  [-209.86409; -178.34496]  error is : 0.150615
342. [-209.78 -178.22]  [-209.86409; -178.34496]  error is : 0.150615
343. [-145.64 -185.93]  [-145.43491; -185.79178]  error is : 0.247318
344. [-180.93 -190.73]  [-181.02892; -190.86418]  error is : 0.166708
345. [104.83 -160.72]  [104.01846; -160.68616]  error is : 0.812244
346. [153.04 -148.76]  [151.99139; -149.05608]  error is : 1.0896
347. [189.02 -140.34]  [188.59395; -141.02481]  error is : 0.806532
348. [127.48 -180.3]  [126.83651; -180.79489]  error is : 0.811787
349. [110.67 -200.8]  [110.27409; -201.51727]  error is : 0.819278
350. [110.67 -200.8]  [110.27409; -201.51727]  error is : 0.819278
351. [-30.51 119.72]  [-30.58955; 118.2121]  error is : 1.51
352. [-30.51 119.72]  [-30.58955; 118.2121]  error is : 1.51
353. [154.04 154.3]  [152.73589; 154.13998]  error is : 1.31389
354. [217.74 153.67]  [217.58763; 154.57545]  error is : 0.918188
355. [-295.72 2.62]  [-296.43112; 2.5623779]  error is : 0.713451
356. [-251.5 -14.46]  [-250.93001; -14.532705]  error is : 0.57461
357. [-277.65 -9.81]  [-277.84879; -9.7618008]  error is : 0.204551
358. [-306.48 -37.16]  [-307.41507; -37.142925]  error is : 0.935214
359. [-306.48 -37.16]  [-307.41507; -37.142925]  error is : 0.935214
360. [-183.66 94]  [-182.13799; 93.50235]  error is : 1.60131
361. [254.3 48.21]  [254.50761; 48.291687]  error is : 0.223104
362. [-78.28 77.05]  [-78.652107; 76.279854]  error is : 0.855333
363. [-311.66 -61.22]  [-313.02615; -61.286327]  error is : 1.36776
364. [-121 65.3]  [-120.00954; 64.943871]  error is : 1.05254
365. [-147.64 58.16]  [-146.09621; 58.10342]  error is : 1.54483
366. [-275.39 -80.59]  [-275.59421; -80.493248]  error is : 0.225954
367. [-173.09 33.23]  [-171.18382; 33.877731]  error is : 2.01322
368. [229.47 -68.79]  [228.87442; -69.219307]  error is : 0.73418
369. [-133.64 -152.03]  [-132.44481; -151.66902]  error is : 1.24851
370. [191.44 -86.02]  [190.23643; -86.532196]  error is : 1.30802
371. [91.9 -176.96]  [91.241447; -177.0083]  error is : 0.660322
372. [107.84 -193.41]  [107.48232; -193.96048]  error is : 0.656471
373. [-15.73 120.18]  [-16.025183; 118.6865]  error is : 1.52239
374. [174.76 182.16]  [174.13843; 182.84348]  error is : 0.923839
375. [-253.73 48.24]  [-253.70683; 48.14687]  error is : 0.0959692
376. [70.12 123.71]  [68.567375; 122.33646]  error is : 2.07299
377. [195.21 74.5]  [194.01485; 74.208504]  error is : 1.23019
378. [-107.8 94.31]  [-107.42182; 93.314606]  error is : 1.06481
379. [-126.63 61.75]  [-125.76601; 61.52058]  error is : 0.893924
380. [248.69 11.55]  [248.25804; 11.450376]  error is : 0.443301
381. [-162.19 44.29]  [-160.36391; 44.630535]  error is : 1.85758
382. [90.05 -169.93]  [89.436134; -169.79604]  error is : 0.628315
